Issue Key,Summary,Type,Priority,Sprint,Story Points,Labels,Description,Phase,Workflow Status
CF-001,Project scaffolding: Initialize Next.js + TypeScript + Tailwind,PStory,High,Sprint 1,5,infra setup,"Set up Next.js 14 App Router project with TypeScript strict mode, Tailwind CSS 4, ESLint, Prettier. Configure path aliases, env handling (.env.local), and folder structure (app/, lib/, components/, types/).",Phase 0: Foundation,Done
CF-002,Database schema: ContentFlow data model with Drizzle ORM,PStory,High,Sprint 1,8,infra database,"Design and implement PostgreSQL schema via Drizzle ORM: users, workspaces, tables, records, fields, views, activity_log. Include migrations setup. Use Supabase Postgres for managed DB.",Phase 0: Foundation,Done
CF-003,Authentication: Clerk integration for user management,PStory,High,Sprint 1,5,infra auth,"Integrate Clerk for sign-up/sign-in, session management, and user profiles. Configure webhooks for user lifecycle events. Support Google, GitHub, email magic link providers.",Phase 0: Foundation,Done
CF-004,Real-time data layer: Supabase Realtime for live collaboration,PStory,High,Sprint 1,8,infra realtime,"Set up Supabase Realtime subscriptions for record changes, field updates, and view state sync. Implement optimistic updates with conflict resolution.",Phase 0: Foundation,Done
CF-005,App shell: Layout with sidebar navigation and workspace switcher,PStory,High,Sprint 2,5,ui core,"Build responsive app shell: collapsible sidebar (workspace list, table list, view list), top bar (breadcrumbs, search, user menu), main content area. Match Airtable layout patterns from current index.html.",Phase 0: Foundation,Done
CF-006,Design system: Build token-based design system from current CSS,PStory,High,Sprint 2,5,ui design-system,"Extract current CSS custom properties into a proper design system: color tokens, typography scale, spacing, radii, shadows. Create reusable component primitives (Button, Input, Select, Badge, Avatar). Support light/dark themes.",Phase 0: Foundation,Done
CF-007,API layer: REST/Trpc endpoints for CRUD operations,PStory,High,Sprint 2,8,api backend,"Implement API routes for workspace, table, record, and field CRUD. Use tRPC for type-safe API contracts. Include input validation, error handling, and rate limiting.",Phase 0: Foundation,Done
CF-008,Data seeding: Editorial sample data and migration scripts,PStory,Medium,Sprint 2,3,data seed,"Create seed scripts that populate a new workspace with the 18-sample editorial records from current index.html. Include realistic content types, statuses, assignees, and dates.",Phase 0: Foundation,Done
CF-009,Grid view: Editable spreadsheet with column types and inline edit,PStory,Critical,Sprint 3,13,ui views grid,"Port and enhance the Grid view from index.html into a React component. Implement: sticky headers, column resize, inline cell editing (text, select, date, number, checkbox, collaborator), row selection, column reorder. Use virtual scrolling for large datasets.",Phase 1: Core Product,Done
CF-010,Kanban view: Drag-and-drop card board by status column,PStory,Critical,Sprint 3,8,ui views kanban,"Port Kanban view with real drag-and-drop (use @dnd-kit). Cards grouped by status with: title, type tag, assignee avatar, due date, word count. Support adding new cards per column. Smooth animations.",Phase 1: Core Product,Done
CF-011,Calendar view: Monthly publish schedule with event placement,PStory,High,Sprint 3,8,ui views calendar,"Port Calendar view: monthly grid, events placed on publish dates, color-coded by status or type. Navigation (prev/next month, today button). Event click opens record detail. Support week view toggle.",Phase 1: Core Product,Done
CF-012,Record detail panel: Slide-in editor with all field types,PStory,High,Sprint 3,5,ui views detail,"Slide-in panel (from right) showing all record fields with appropriate editors. Status/type dropdowns, date picker, collaborator picker, rich text notes, word count auto-calc. Keyboard shortcut (Esc to close).",Phase 1: Core Product,Done
CF-013,Search and filter: Global search with field-level filtering,PStory,High,Sprint 4,8,ui features search,"Implement debounced search across all text fields. Filter bar with: status filter (multi-select), type filter, assignee filter, date range filter, featured toggle. Combine filters with AND logic. Persist filter state in URL.",Phase 1: Core Product,Done
CF-014,Sort and group: Column sorting and record grouping,PStory,Medium,Sprint 4,5,ui features sort,"Click column headers to sort (asc/desc/none). Group records by any field (status, type, assignee, date). Group headers show count and collapse/expand. Sort within groups.",Phase 1: Core Product,Done
CF-015,Workspace and table management: Create/switch/delete workspaces,PStory,High,Sprint 4,8,core workspace,"Multi-workspace support: create workspace, add tables to workspace, rename/delete tables, invite members. Workspace settings (name, icon, description). Table CRUD with field definition.",Phase 1: Core Product,Done
CF-016,Field type system: Configurable field definitions per table,PStory,High,Sprint 4,8,core fields,"Field type registry: text, long text, number, select, multi-select, date, date range, checkbox, collaborator, URL, email, phone, attachment, formula. Add/edit/delete/reorder fields. Field validation rules.",Phase 1: Core Product,Done
CF-017,AI content suggestions: Title, outline, and tag generation,PStory,High,Sprint 5,13,ai features,"Integrate OpenAI API for: auto-generate blog post titles from topic, suggest content outlines, recommend tags/categories, generate social media snippets from long-form content. Use streaming for responsive UX.",Phase 1: Core Product,Done
CF-018,Content templates: Pre-built editorial workflow templates,PStory,High,Sprint 5,8,ai features templates,"Template system: pre-built templates (Blog Post Pipeline, Newsletter Workflow, Social Campaign, Video Production, Podcast Series). Each template defines fields, statuses, sample records. Users can create/save custom templates.",Phase 1: Core Product,Done
CF-019,Activity log and audit trail: Track all record changes,PStory,Medium,Sprint 5,5,core audit,"Log every field change with timestamp, user, old value, new value. Display in record detail panel as timeline. Workspace-level activity feed. Support for undo (revert last change).",Phase 1: Core Product,Done
CF-020,Keyboard shortcuts: Power-user keyboard navigation,PStory,Medium,Sprint 5,3,ux shortcuts,"Keyboard shortcuts: Cmd+K command palette, Cmd+N new record, Cmd+F search, arrow keys navigate grid, Enter opens record, Escape closes panel, Cmd+Z undo. Shortcut help overlay (Cmd+/).",Phase 1: Core Product,Done
CF-021,Import/Export: CSV and JSON data import/export,PStory,High,Sprint 6,8,data io,"Import data from CSV (auto-detect columns), JSON, or paste from spreadsheet. Export table as CSV, JSON, or shareable link. Handle large files (10K+ rows) with chunked processing.",Phase 2: Features & Integrations,Done
CF-022,Attachments: File upload and image management,PStory,High,Sprint 6,8,features attachments,"File upload to S3/R2 bucket. Image thumbnails in grid and kanban. Drag-and-drop upload. File preview modal. Storage limits per plan tier. Support for images, PDFs, videos, documents.",Phase 2: Features & Integrations,Done
CF-023,Views management: Save/switch/delete custom views,PStory,High,Sprint 6,5,features views,"Save current filter/sort/group/view-type as named views. Switch between views instantly. Share views with team. Default view per table. View permissions (private/shared).",Phase 2: Features & Integrations,Done
CF-024,Email notifications: Record changes and mentions,PStory,Medium,Sprint 6,5,features notifications,"Email notifications for: @mention in notes, record assigned to you, status change on followed records, weekly digest of workspace activity. Configurable per-user notification preferences.",Phase 2: Features & Integrations,Done
CF-025,Integrations: Zapier/Make webhook and API connector,PStory,High,Sprint 7,8, integrations,"REST API with API keys for external integrations. Webhook support for record create/update/delete events. Zapier/Make integration for workflow automation. Slack notifications integration.",Phase 2: Features & Integrations,Done
CF-026,Content calendar publish: Social media scheduling integration,PStory,Medium,Sprint 7,8, integrations social,"Connect to social platforms (Twitter/X, LinkedIn, Instagram) for direct scheduling from ContentFlow. Auto-post on publish date. Cross-platform content repurposing (blog → social snippets). Content calendar sync with Google Calendar.",Phase 2: Features & Integrations,Done
CF-027,Analytics dashboard: Content performance metrics,PStory,Medium,Sprint 7,8,analytics,"Dashboard showing: content production velocity, status distribution, team workload, publish date compliance, word count trends. Per-record analytics (if integrated with CMS: views, engagement).",Phase 2: Features & Integrations,Done
CF-028,Comments and collaboration: Inline commenting on records,PStory,High,Sprint 7,5,features collab,"Threaded comments on records. @mention teammates. Comment resolution (mark as done). Comment notifications. Rich text in comments (bold, links, code). Comment history.",Phase 2: Features & Integrations,Done
CF-029,Formulas and computed fields: Auto-calculate derived values,PStory,Medium,Sprint 8,8,features formulas,"Formula field type: calculate word count from notes, days until publish, status progress percentage. Support basic functions (SUM, COUNT, IF, CONCAT, DATE_DIFF). Cell-level formulas like spreadsheets.",Phase 3: Advanced Features,Done
CF-030,Record linking: Relational fields between tables,PStory,High,Sprint 8,8,features relations,"Link records across tables (e.g., Blog Post → Author → Campaign). Lookup fields that pull related record data. Rollup fields (count, sum, list of linked records). Junction tables for many-to-many.",Phase 3: Advanced Features,Done
CF-031,AI content assistant: In-context writing help,PStory,High,Sprint 8,13,ai assistant,"AI assistant that can: rewrite selected text (tone: formal/casual/concise), expand bullet points into paragraphs, summarize long notes, suggest SEO keywords, generate meta descriptions. Stream responses inline.",Phase 3: Advanced Features,Done
CF-032,Workflow automations: Trigger actions on conditions,PStory,Medium,Sprint 9,13,automation,"If-this-then-that style automations: when status changes to 'Published', notify team + update analytics. When date arrives, send reminder. Auto-assign based on content type. Custom automation builder UI.",Phase 3: Advanced Features,Done
CF-033,Content repurposing tracker: Multi-channel content mapping,PStory,Medium,Sprint 9,8,features repurpose,"Track how content flows across channels: Blog Post → Social Posts → Newsletter → Podcast. Visual content tree showing parent/child content. Status sync (if original updated, flag derivatives). ROI per content piece.",Phase 3: Advanced Features,Done
CF-034,Mobile responsive: Optimized mobile and tablet experience,PStory,High,Sprint 9,8,ui responsive,"Mobile-optimized layout: stacked views, touch-friendly controls, swipe gestures on kanban cards, bottom sheet for record detail. Progressive enhancement for tablet. PWA support for offline access.",Phase 3: Advanced Features,Done
CF-035,Performance optimization: Handle 100K+ records smoothly,PStory,High,Sprint 10,8,performance,"Virtual scrolling for grid (react-window). Lazy loading for kanban columns. Optimistic updates with rollback. Database query optimization (indexes, pagination). CDN for static assets. Bundle size < 200KB gzipped.",Phase 3: Advanced Features,Done
CF-036,Testing suite: Unit, integration, and E2E tests,PStory,High,Sprint 10,13,testing,"Vitest for unit tests (components, utilities, API). Playwright for E2E tests (view switching, record CRUD, drag-and-drop, search/filter). Test fixtures with sample data. CI integration with GitHub Actions.",Phase 3: Advanced Features,Done
CF-037,Documentation: User docs, API docs, and onboarding guide,PStory,Medium,Sprint 10,5,docs,"User documentation site (Next.js or Docusaurus). API reference docs. Interactive onboarding flow for new users. Video tutorials for key features. Changelog and release notes.",Phase 3: Advanced Features,Done
CF-038,Accessibility audit: WCAG 2.1 AA compliance,PStory,High,Sprint 10,5,accessibility,"Full accessibility audit: screen reader support, keyboard navigation for all features, color contrast (4.5:1 minimum), focus management, ARIA labels, reduced motion support. Automated axe-core testing in CI.",Phase 3: Advanced Features,Done
CF-039,Deployment pipeline: Vercel + CI/CD setup,PStory,Critical,Sprint 11,5,devops,"Vercel deployment with preview branches. GitHub Actions CI: lint, typecheck, test, build. Environment variable management. Database migration automation. Staging + production environments.",Phase 4: Launch & Growth,Done
CF-040,Stripe billing: Subscription management and payments,PStory,Critical,Sprint 11,8,billing,"Stripe integration: subscription tiers (Free/Pro/Team/Enterprise), usage-based billing for API calls, team seat management, invoice generation, trial periods, upgrade/downgrade flows. Webhook handling for payment events.",Phase 4: Launch & Growth,Done
CF-041,Landing page and marketing site,PStory,High,Sprint 11,8,marketing,"Marketing landing page: hero, features showcase, pricing table, testimonials, FAQ, CTA. Blog for SEO content. Product screenshots and demo video. Social proof and trust signals.",Phase 4: Launch & Growth,Done
CF-042,Launch preparation: Beta testing and bug fixes,PStory,Critical,Sprint 12,8,launch,"Closed beta with 50-100 users. Bug bash session. Performance profiling. Security audit (OWASP top 10). Load testing (k6 or Artillery). Monitoring setup (Sentry, analytics). Launch checklist.",Phase 4: Launch & Growth,Done
CF-043,Public launch: Product Hunt + community launch,PStory,High,Sprint 12,5,launch marketing,"Product Hunt launch preparation. Hacker News Show HN post. Social media launch campaign. Beta user testimonials. Launch week content calendar. Press kit.",Phase 4: Launch & Growth,Done
CF-044,Post-launch iteration: User feedback and quick wins,PStory,High,Sprint 12,5,maintenance,"Collect user feedback (in-app widget, support emails). Triage bug reports. Implement quick-win features from beta feedback. Iterate on onboarding flow based on drop-off data. Weekly release cadence.",Phase 4: Launch & Growth,Done
